"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0000045"	22	"autophagosome assembly"	"The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm."	"YBL058W,YBR080C,YBR217W,YDL149W,YDR108W,YDR170C,YEL013W,YFL038C,YGL180W,YHR171W,YJL178C,YLL014W,YLR240W,YLR423C,YNL242W,YNR007C,YPL120W,YPL149W,YPL166W,YPL250C,YPR049C,YPR185W"
"GO:0000050"	2	"urea cycle"	"The sequence of reactions by which arginine is synthesized from ornithine, then cleaved to yield urea and regenerate ornithine. The overall reaction equation is NH3 + CO2 + aspartate + 3 ATP + 2 H2O = urea + fumarate + 2 ADP + 2 phosphate + AMP + diphosphate."	"YOL058W,YPL111W"
"GO:0000053"	1	"argininosuccinate metabolic process"	"The chemical reactions and pathways involving argininosuccinate, 2-(N(omega)-arginino)succinate, an intermediate in the ornithine-urea cycle, where it is synthesized from citrulline and aspartate."	"YOL058W"
"GO:0000054"	11	"ribosomal subunit export from nucleus"	"The directed movement of a ribosomal subunit from the nucleus into the cytoplasm."	"YDL229W,YDR091C,YGL097W,YGL099W,YGR285C,YLR293C,YMR235C,YNL209W,YOR185C,YPL093W,YPR016C"
"GO:0000055"	32	"ribosomal large subunit export from nucleus"	"The directed movement of a ribosomal large subunit from the nucleus into the cytoplasm."	"YAL059W,YDR101C,YDR361C,YER006W,YFR001W,YFR002W,YGL135W,YGL172W,YGR218W,YGR245C,YHR088W,YHR170W,YIL115C,YIL148W,YIR026C,YJL041W,YJL061W,YJR042W,YKL009W,YKL057C,YKL186C,YKR094C,YLL034C,YLR074C,YLR106C,YMR047C,YNL227C,YNR053C,YOR098C,YOR294W,YPL146C,YPL169C"
"GO:0000056"	13	"ribosomal small subunit export from nucleus"	"The directed movement of a ribosomal small subunit from the nucleus into the cytoplasm."	"YCR047C,YER036C,YGR081C,YGR218W,YIL063C,YIL115C,YJL010C,YJL041W,YJL061W,YKL143W,YKL186C,YOR145C,YPL169C"
"GO:0000070"	25	"mitotic sister chromatid segregation"	"The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."	"YAL034W-A,YBL063W,YBL097W,YDR113C,YDR130C,YDR325W,YEL061C,YFL008W,YFR031C,YGL216W,YGR098C,YIR010W,YIR025W,YKL049C,YKR054C,YLR086W,YLR212C,YLR272C,YML034W,YML085C,YML124C,YMR190C,YNL307C,YOR073W,YPL233W"
"GO:0000073"	4	"initial mitotic spindle pole body separation"	"The release of duplicated mitotic spindle pole bodies (SPBs) that begins with the nucleation of microtubules from each SPB within the nucleus, leading to V-shaped spindle microtubules. Interpolar microtubules that elongate from each pole are interconnected, forming overlapping microtubules. Capturing and antiparallel sliding apart of microtubules promotes the initial separation of the SPB."	"YBL063W,YEL061C,YOR058C,YOR373W"
"GO:0000076"	8	"DNA replication checkpoint signaling"	"A signal transduction process that contributes to a DNA replication checkpoint, that prevents the initiation of nuclear division until DNA replication is complete, thereby ensuring that progeny inherit a full complement of the genome."	"YAL021C,YCL061C,YER133W,YJL090C,YJR068W,YMR048W,YNL273W,YPL194W"
"GO:0000077"	20	"DNA damage checkpoint signaling"	"A signal transduction process that contributes to a DNA damage checkpoint."	"YBL051C,YBL088C,YBR136W,YBR274W,YDL101C,YDR099W,YDR217C,YDR283C,YDR440W,YDR499W,YER133W,YER173W,YER177W,YLR288C,YML028W,YML058W-A,YOR368W,YPL153C,YPL194W,YPR015C"
"GO:0000079"	22	"regulation of cyclin-dependent protein serine/threonine kinase activity"	"Any process that modulates the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity."	"YAL040C,YBL056W,YDL127W,YDL155W,YDL179W,YDR460W,YER059W,YGL134W,YGL215W,YGR108W,YGR109C,YHR071W,YIL050W,YLR210W,YMR199W,YNL289W,YOL001W,YPL219W,YPL256C,YPR025C,YPR119W,YPR120C"
"GO:0000082"	26	"G1/S transition of mitotic cell cycle"	"The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."	"YBR160W,YCR008W,YDL047W,YDL132W,YDL134C,YDL188C,YDL225W,YDR002W,YDR247W,YDR328C,YER167W,YFL009W,YFR040W,YGL229C,YGR109C,YIL046W,YIL153W,YJL098W,YJL194W,YJR059W,YKL161C,YKR028W,YLR079W,YOL133W,YOR066W,YPR120C"
"GO:0000083"	15	"regulation of transcription involved in G1/S transition of mitotic cell cycle"	"Any process that regulates transcription such that the target genes are involved in the transition between G1 and S phase of the mitotic cell cycle."	"YAL040C,YBR215W,YBR279W,YDL056W,YDL179W,YER111C,YIL046W,YKR077W,YLR131C,YNL309W,YNL330C,YOL145C,YOR066W,YPL031C,YPL116W"
"GO:0000086"	19	"G2/M transition of mitotic cell cycle"	"The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex."	"YBL051C,YBR133C,YDL132W,YDL139C,YDL155W,YDR054C,YDR328C,YFL009W,YFL029C,YGR108W,YGR211W,YJL187C,YKL101W,YLL003W,YLR210W,YMR036C,YPL020C,YPR119W,YPR120C"
"GO:0000096"	5	"sulfur amino acid metabolic process"	"The chemical reactions and pathways involving amino acids containing sulfur, comprising cysteine, homocysteine, methionine and selenocysteine."	"YJR010W,YKL001C,YLL062C,YNL103W,YNL277W"
"GO:0000097"	1	"sulfur amino acid biosynthetic process"	"The chemical reactions and pathways resulting in the formation of amino acids containing sulfur, comprising cysteine, methionine and selenocysteine."	"YJR137C"
"GO:0000101"	1	"sulfur amino acid transport"	"The directed movement of amino acids containing sulfur (cystine, methionine and their derivatives) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	"YGR055W"
"GO:0000103"	9	"sulfate assimilation"	"The pathways by which inorganic sulfate is processed and incorporated into sulfated compounds."	"YBR213W,YFR030W,YGR209C,YJR010W,YJR137C,YKL001C,YKR069W,YOL064C,YPR167C"
"GO:0000105"	9	"histidine biosynthetic process"	"The chemical reactions and pathways resulting in the formation of histidine, 2-amino-3-(1H-imidazol-4-yl)propanoic acid."	"YBR084W,YBR248C,YCL030C,YER055C,YFR025C,YGR204W,YIL020C,YIL116W,YOR202W"
"GO:0000117"	2	"regulation of transcription involved in G2/M transition of mitotic cell cycle"	"Any process that regulates transcription such that the target genes are transcribed as part of the G2/M transition of the mitotic cell cycle."	"YNL330C,YOL004W"
"GO:0000122"	119	"negative regulation of transcription by RNA polymerase II"	"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."	"YAL013W,YAL019W,YBL008W,YBL093C,YBR066C,YBR095C,YBR112C,YBR193C,YBR239C,YBR279W,YCL058W-A,YCL067C,YCR081W,YCR084C,YCR087C-A,YDL005C,YDL020C,YDL233W,YDR043C,YDR096W,YDR173C,YDR191W,YDR207C,YDR224C,YDR225W,YDR253C,YDR259C,YDR295C,YDR308C,YDR397C,YDR443C,YDR451C,YEL009C,YEL037C,YER040W,YER159C,YER161C,YER162C,YER169W,YER177W,YFL021W,YFR034C,YGL025C,YGL035C,YGL071W,YGL133W,YGL162W,YGL209W,YGL244W,YGR002C,YGR044C,YGR116W,YGR122W,YGR270W,YHL007C,YHL020C,YHL027W,YHR119W,YIL084C,YIL101C,YIL131C,YIR018W,YJL110C,YJL127C,YJR017C,YJR060W,YJR063W,YJR119C,YKL005C,YKL032C,YKL038W,YKL057C,YKL112W,YKL185W,YKR034W,YKR064W,YKR082W,YLR055C,YLR071C,YLR131C,YLR176C,YLR451W,YML051W,YML113W,YMR020W,YMR043W,YMR070W,YMR112C,YNL021W,YNL023C,YNL025C,YNL076W,YNL167C,YNL199C,YNL206C,YNL216W,YNL236W,YNL239W,YNL298W,YNL330C,YNR010W,YOL001W,YOL002C,YOL004W,YOL051W,YOL113W,YOL135C,YOR038C,YOR140W,YOR279C,YPL038W,YPL042C,YPL049C,YPL177C,YPR009W,YPR065W,YPR070W,YPR168W,YPR179C"
"GO:0000128"	6	"flocculation"	"The reversible, non-sexual aggregation of single-celled organisms in suspension to form aggregates of many cells known as flocs."	"YAL063C,YAR050W,YHR211W,YHR213W,YIR019C,YKR102W"
"GO:0000132"	13	"establishment of mitotic spindle orientation"	"A cell cycle process that sets the alignment of mitotic spindle relative to other cellular structures."	"YCL029C,YDR477W,YGL216W,YHR115C,YHR129C,YKR054C,YLL049W,YMR294W,YNL116W,YNL271C,YOR269W,YOR326W,YPL174C"
"GO:0000147"	15	"actin cortical patch assembly"	"Assembly of an actin cortical patch, a discrete actin-containing structure found at the plasma membrane of fungal cells."	"YBL007C,YBR059C,YBR108W,YCR030C,YCR088W,YDL146W,YDL161W,YDL176W,YIL095W,YIR006C,YLL038C,YLR206W,YNL020C,YNL084C,YNL243W"
"GO:0000154"	4	"rRNA modification"	"The covalent alteration of one or more nucleotides within an rRNA molecule to produce an rRNA molecule with a sequence that differs from that coded genetically."	"YLR165C,YLR197W,YOR201C,YPL266W"
"GO:0000160"	5	"phosphorelay signal transduction system"	"A conserved series of molecular signals found in prokaryotes and eukaryotes; involves autophosphorylation of a histidine kinase and the transfer of the phosphate group to an aspartate that then acts as a phospho-donor to response regulator proteins."	"YDL235C,YFL033C,YHR206W,YIL147C,YLR006C"
"GO:0000161"	6	"osmosensory signaling MAPK cascade"	"A series of molecular signals in which a stress-activated protein kinase (SAPK) cascade relays one or more of the signals, containing at least a Hog1/Sty1 family MAPK, a Pbs2/Wis1 family MAPKK and a Ssk2/Win1 family MAP3K."	"YCL032W,YCR073C,YDR168W,YJL128C,YLR362W,YNR031C"
"GO:0000162"	7	"tryptophan biosynthetic process"	"The chemical reactions and pathways resulting in the formation of tryptophan, the chiral amino acid 2-amino-3-(1H-indol-3-yl)propanoic acid; tryptophan is synthesized from chorismate via anthranilate."	"YDR007W,YDR354W,YER090W,YGL026C,YIL020C,YKL211C,YNR033W"
"GO:0000165"	4	"MAPK cascade"	"An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."	"YDL159W,YGR040W,YHL007C,YJL128C"
"GO:0000183"	22	"rDNA heterochromatin assembly"	"The assembly of chromatin characterized by the modified histone H3K9me3, into heterochromatin, resulting in the repression of transcription of rDNA."	"YAL019W,YBR279W,YDL042C,YDR026C,YDR110W,YDR439W,YDR448W,YER088C,YGL037C,YJL076W,YJL127C,YJR119C,YKR010C,YKR019C,YLR285W,YML109W,YMR179W,YOL006C,YOR209C,YOR244W,YOR304W,YPL015C"
"GO:0000184"	21	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"The nonsense-mediated decay pathway for nuclear-transcribed mRNAs degrades mRNAs in which an amino-acid codon has changed to a nonsense codon; this prevents the translation of such mRNAs into truncated, and potentially harmful, proteins."	"YDR206W,YER035W,YER176W,YGL173C,YGR072W,YHR077C,YIL151C,YKR096W,YLR233C,YLR363C,YMR080C,YMR125W,YNL016W,YNL112W,YNL118C,YOL123W,YOL139C,YOL149W,YOR076C,YOR173W,YPL178W"
"GO:0000196"	10	"cell wall integrity MAPK cascade"	"A MAPK cascade that contributes to cell wall organization or biogenesis."	"YDL159W,YDR466W,YDR490C,YHR030C,YIL113W,YJL095W,YLR362W,YOL100W,YOR231W,YPL140C"
"GO:0000209"	33	"protein polyubiquitination"	"Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain."	"YAL005C,YBR082C,YDL190C,YDR030C,YDR054C,YDR059C,YDR092W,YDR177W,YDR457W,YEL012W,YER068W,YER100W,YER125W,YGL058W,YGL087C,YGL141W,YGR133W,YGR184C,YIL046W,YJR090C,YJR141W,YKL010C,YKL059C,YKR017C,YLR024C,YLR032W,YML068W,YML111W,YMR275C,YNR069C,YOR339C,YOR371C,YPL054W"
"GO:0000212"	1	"meiotic spindle organization"	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the microtubule spindle during a meiotic cell cycle."	"YLR212C"
"GO:0000226"	12	"microtubule cytoskeleton organization"	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins."	"YDR150W,YER007W,YFL037W,YFR028C,YHR172W,YJR070C,YJR108W,YML085C,YML124C,YNR035C,YOR058C,YOR349W"
"GO:0000244"	5	"spliceosomal tri-snRNP complex assembly"	"The formation of a tri-snRNP complex containing U4 and U6 (or U4atac and U6atac) snRNAs and U5 snRNAs and associated proteins. This includes reannealing of U4 and U6 (or U4atac and U6atac) snRNAs released from previous rounds of splicing to reform the U4/U6 snRNP (or U4atac/U6atac snRNP) as well as the subsequent association of the U5 snRNP with the U4/U6 snRNP (or U4atac/U6atac snRNP) to form a tri-snRNP that is ready to reassemble into another spliceosome complex."	"YBL074C,YBR055C,YHR165C,YKL173W,YMR268C"
"GO:0000245"	14	"spliceosomal complex assembly"	"The aggregation, arrangement and bonding together of a spliceosomal complex, a ribonucleoprotein apparatus that catalyzes nuclear mRNA splicing via transesterification reactions."	"YBR102C,YDL043C,YFR005C,YIR005W,YLR117C,YML010W,YML049C,YMR216C,YMR240C,YMR268C,YMR288W,YNL138W-A,YPR057W,YPR094W"
"GO:0000256"	7	"allantoin catabolic process"	"The chemical reactions and pathways resulting in the breakdown of allantoin, (2,5-dioxo-4-imidazolidinyl)urea."	"YBR208C,YIR027C,YIR028W,YIR029W,YIR031C,YIR032C,YNL314W"
"GO:0000266"	8	"mitochondrial fission"	"The division of a mitochondrion within a cell to form two or more separate mitochondrial compartments."	"YDR150W,YFR004W,YIL065C,YJL112W,YKR036C,YLL001W,YPL218W,YPR083W"
"GO:0000271"	1	"polysaccharide biosynthetic process"	"The chemical reactions and pathways resulting in the formation of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."	"YDR221W"
"GO:0000272"	10	"polysaccharide catabolic process"	"The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."	"YDR371W,YIL099W,YIL123W,YKR042W,YLR144C,YLR286C,YLR307W,YLR308W,YNL066W,YNR067C"
"GO:0000278"	30	"mitotic cell cycle"	"Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."	"YAL034W-A,YBL009W,YBR088C,YBR267W,YDL134C,YDL164C,YDL188C,YDR106W,YDR159W,YDR328C,YDR457W,YFL008W,YFL037W,YFR028C,YFR031C,YGL021W,YHR172W,YJL074C,YKR083C,YLR086W,YLR212C,YLR272C,YML085C,YML124C,YNL126W,YNL262W,YOR217W,YOR315W,YPR135W,YPR141C"
"GO:0000280"	7	"nuclear division"	"The division of a cell nucleus into two nuclei, with DNA and other nuclear contents distributed between the daughter nuclei."	"YGR092W,YGR098C,YJL080C,YKL172W,YLL032C,YML085C,YML124C"
"GO:0000281"	13	"mitotic cytokinesis"	"A cell cycle process that results in the division of the cytoplasm of a cell after mitosis, resulting in the separation of the original cell into two daughter cells."	"YAR019C,YCR002C,YHR107C,YIL106W,YIL138C,YJR076C,YKL048C,YLR314C,YMR032W,YNL079C,YNL152W,YPR111W,YPR188C"
"GO:0000282"	14	"cellular bud site selection"	"The specification of the site where a daughter cell will form, in organisms that reproduce by budding. An example of this process is found in Saccharomyces cerevisiae."	"YAL041W,YDR420W,YER014C-A,YGR014W,YGR041W,YGR262C,YHL007C,YLR084C,YLR330W,YLR353W,YOL072W,YOR094W,YOR129C,YOR299W"
"GO:0000288"	14	"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"	"A major pathway of degradation of nuclear-transcribed mRNAs that proceeds through a series of ordered steps that includes poly(A) tail shortening and that can regulate mRNA stability."	"YAL021C,YCR093W,YDL165W,YDR172W,YER049W,YGL014W,YJL124C,YJL140W,YJR091C,YKL025C,YLL013C,YLR270W,YOR173W,YPR042C"
"GO:0000289"	8	"nuclear-transcribed mRNA poly(A) tail shortening"	"Shortening of the poly(A) tail of a nuclear-transcribed mRNA from full length to an oligo(A) length."	"YAL021C,YDL165W,YGL094C,YIL038C,YKL025C,YNR052C,YOR359W,YPR072W"
"GO:0000290"	13	"deadenylation-dependent decapping of nuclear-transcribed mRNA"	"Cleavage of the 5'-cap of a nuclear mRNA triggered by shortening of the poly(A) tail to below a minimum functional length."	"YCR077C,YDL160C,YDL165W,YER035W,YGL222C,YIL038C,YJL124C,YKL204W,YLR270W,YNL118C,YOL149W,YOR173W,YPR072W"
"GO:0000291"	1	"nuclear-transcribed mRNA catabolic process, exonucleolytic"	"The chemical reactions and pathways resulting in the breakdown of the transcript body of a nuclear-transcribed mRNA that occurs when the ends are not protected by the 5'-cap or the 3'-poly(A) tail."	"YDR404C"
"GO:0000294"	10	"nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay"	"A minor degradation pathway nuclear-transcribed mRNAs that begins with an endonucleolytic cleavage to generate unprotected ends."	"YAL033W,YBL018C,YBR167C,YBR257W,YGR030C,YHR062C,YLR145W,YMR239C,YNL221C,YNL282W"
"GO:0000296"	6	"spermine transport"	"The directed movement of spermine, N,N-bis(3-aminopropyl)-1,4-diaminobutane, a polyamine formed by the transfer of a propylamine group from decarboxylated S-adenosylmethionine to spermidine, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	"YGR138C,YJR059W,YKL198C,YLL028W,YOR273C,YPR156C"
"GO:0000301"	5	"retrograde transport, vesicle recycling within Golgi"	"The retrograde movement of substances within the Golgi, mediated by COP I vesicles. Cis-Golgi vesicles are constantly moving forward through the Golgi stack by cisternal progression, eventually becoming trans-Golgi vesicles. They then selectively transport membrane and luminal proteins from the trans- to the medial-Golgi while leaving others behind in the trans-Golgi cisternae; similarly, they selectively move proteins from the medial- to the cis-Golgi."	"YER157W,YGL223C,YGR120C,YLR262C,YPR105C"
"GO:0000302"	3	"response to reactive oxygen species"	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals."	"YDR256C,YGR088W,YKR066C"
"GO:0000304"	3	"response to singlet oxygen"	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a singlet oxygen stimulus. Singlet oxygen is a dioxygen (O2) molecule in which two 2p electrons have similar spin. Singlet oxygen is more highly reactive than the form in which these electrons are of opposite spin, and it is produced in mutant chloroplasts lacking carotenoids and by leukocytes during metabolic burst."	"YHR206W,YML007W,YNR074C"
"GO:0000316"	2	"sulfite transport"	"The directed movement of sulfite into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	"YIL166C,YPL092W"
"GO:0000320"	1	"re-entry into mitotic cell cycle"	"The resumption of the mitotic cell division cycle by cells that were in a quiescent or other non-dividing state."	"YJL187C"
"GO:0000321"	9	"re-entry into mitotic cell cycle after pheromone arrest"	"The resumption of the mitotic cell division cycle by pheromone-arrested cells that have not mated. An example of this process is found in Saccharomyces cerevisiae."	"YDR200C,YFR008W,YGR271C-A,YIL122W,YLR238W,YMR029C,YMR052W,YNL127W,YPL256C"
"GO:0000338"	6	"protein deneddylation"	"The removal of a ubiquitin-like protein of the NEDD8 type from a protein."	"YDL147W,YDL216C,YDR179C,YIL071C,YMR025W,YOL117W"
"GO:0000348"	3	"mRNA branch site recognition"	"Recognition of the pre-mRNA branch site sequence by components of the assembling spliceosome."	"YBR237W,YDR364C,YKL074C"
"GO:0000349"	8	"generation of catalytic spliceosome for first transesterification step"	"Formation of a catalytic spliceosome complex ready to perform the first splicing reaction. This occurs by an ATP-dependent conformational change of the pre-catalytic spliceosome."	"YBR152W,YDR416W,YIR005W,YKL095W,YKL173W,YLR323C,YLR424W,YNR011C"
"GO:0000350"	10	"generation of catalytic spliceosome for second transesterification step"	"Conformational rearrangement of the spliceosomal complex containing the RNA products from the 1st step of splicing to form the catalytic site for the second step of splicing."	"YAL032C,YDR088C,YDR364C,YER013W,YGR006W,YHR165C,YJR050W,YKL095W,YKR086W,YMR213W"
"GO:0000354"	1	"cis assembly of pre-catalytic spliceosome"	"Assembly of a spliceosomal complex containing the intact pre-mRNA and all of the spliceosomal snRNPs. This occurs when the tri-snRNP associates with the pre-mRNA and associated snRNPs in an ATP-dependent manner."	"YLR117C"
"GO:0000372"	10	"Group I intron splicing"	"The splicing of Group I introns. This occurs by a ribozymic mechanism where the intron sequence forms a distinct 3D structure, characteristic of Group I introns and involved in determining the locations of the splice sites (there do not appear to be consensus splice site sequences) as well as having a role in catalyzing the splicing reactions, though protein factors are also required in vivo. Splicing occurs by a series of two transesterification reactions, generally with exogenous guanosine as the initiating nucleophile. The intron is excised as a linear piece (though it may subsequently circularize)."	"Q0115,Q0120,YDR194C,YGR222W,YHL038C,YIR021W,YLR382C,YOR350C,YPL029W,YPR134W"
"GO:0000373"	1	"Group II intron splicing"	"The splicing of Group II introns. This occurs by a ribozymic mechanism where the intron sequence forms a distinct 3D structure, characteristic of Group II introns and containing splice site consensus sequences, that is involved in catalyzing the splicing reactions, though protein factors are also required in vivo. Splicing occurs by a series of two transesterification reactions (mechanistically similar to those for splicing of nuclear mRNAs) initiated by a bulged adenosine residue within the intron sequence as the initiating nucleophile. The intron is excised as a lariat."	"YDR194C"
"GO:0000378"	1	"RNA exon ligation"	"The RNA metabolic process that joins two exons, each of which has free ends that were generated by endonucleolytic cleavages, by a ligation reaction."	"YKR086W"
"GO:0000379"	4	"tRNA-type intron splice site recognition and cleavage"	"RNA processing that begins when the tertiary structure of a tRNA type intron is recognized, and ends when the endonucleolytic cleavage of the RNA at both the 5' and 3' splice sites occurs."	"YAR008W,YLR105C,YMR059W,YPL083C"
"GO:0000387"	10	"spliceosomal snRNP assembly"	"The aggregation, arrangement and bonding together of one or more snRNA and multiple protein components to form a ribonucleoprotein complex that is involved in formation of the spliceosome."	"YDR473C,YER112W,YFL017W-A,YGR074W,YGR091W,YKL183W,YLR147C,YLR275W,YOR159C,YPR057W"
